Dataset,Sampling Method,SampleSize,Accuracy,Example Leakage,Running_Time,F1_Score,Precisions,Recalls,FeatureEncoder_Time,TruePositive,FalsePositive,FalseNegative,TrueNegative
mobis2019,none,100,0.8633321381618262,0.973706226843552,193.84312057495117,0.8417734587143421,0.8378135710523974,0.8633321381618262,0.23737883567810059,14447,2287,2287,432797
mobis2019,relevance,70,0.8678296401068678,0.9696683954109697,89.74125671386719,0.843761920816219,0.8370658342571919,0.8678296401068678,55.11561989784241,11044,1682,1682,329194
mobis2019,relevance,50,0.8599448360404536,0.9566860762079885,133.02301335334778,0.8350248124382411,0.8319865825755348,0.8599448360404536,119.1472954750061,8418,1371,1371,253143
mobis2019,relevance,30,0.8464898091232611,0.9516337754771919,57.90336799621582,0.8210108262254587,0.839616873254062,0.8464898091232611,36.24318981170654,5233,949,949,153601
mobis2019,relevance,10,0.8599428338097183,0.9293589220089833,48.35714244842529,0.8283123331329935,0.83968718866944,0.8599428338097183,87.31673240661621,2106,343,343,60882
mobis2019,relevance,5,0.881992337164751,0.8835249042145594,30.111040830612183,0.8529260301420464,0.8424684097915177,0.881992337164751,45.250022172927856,1151,154,154,29861
mobis2019,relevance,3,0.7697283311772316,0.8576972833117723,19.730223417282104,0.7386989615022258,0.7430523888208784,0.7697283311772316,38.105003118515015,595,178,178,17601
mobis2019,random,70,0.8630672926447575,0.9701790992870805,149.0145046710968,0.8406013782769556,0.8380990923199733,0.8630672926447575,0.34537696838378906,9927,1575,1575,297477
mobis2019,random,50,0.8603224254090471,0.9572906641000962,67.59238934516907,0.8331513648851352,0.8468522501717145,0.8603224254090471,0.17301607131958008,7151,1161,1161,214951
mobis2019,random,30,0.865317083247263,0.9628175996694898,38.5417845249176,0.8400031100363521,0.8578040813932709,0.865317083247263,0.12555932998657227,4189,652,652,120373
mobis2019,random,10,0.8625,0.9125,22.65967559814453,0.8405253820006476,0.8397825495375261,0.8625,0.12344002723693848,1311,209,209,36271
mobis2019,random,5,0.8161490683229814,0.9254658385093167,8.096677541732788,0.7836467389655848,0.7834326324748526,0.8161490683229814,0.14112210273742676,657,148,148,18367
mobis2019,random,5,0.7491248541423571,0.9591598599766628,18.2632257938385,0.6753454194941338,0.6379069072974246,0.7491248541423571,0.2706587314605713,642,215,215,19496
mobis2019,variant,70,0.8830251856165381,0.9714660066967535,216.33442330360413,0.857268706979393,0.871589433545533,0.8830251856165381,16.41700053215027,12131,1607,1607,341843
mobis2019,variant,50,0.8891211306857768,0.9655618592614711,165.7615704536438,0.8682825179000421,0.865269586895118,0.8891211306857768,6.810020923614502,8933,1114,1114,250061
mobis2019,variant,30,0.8886594389950094,0.9538805713302357,38.096336364746094,0.8680945812846129,0.863175445711765,0.8886594389950094,1.6953253746032715,5164,647,647,144628
mobis2019,variant,10,0.9020547945205479,0.9095890410958904,9.22714114189148,0.8808543682545568,0.8743895245846585,0.9020547945205479,0.511620283126831,1317,143,143,33437
mobis2019,variant,5,0.7921259842519685,0.9464566929133859,4.443172216415405,0.7319694118072716,0.7042376877530818,0.7921259842519685,0.2599647045135498,503,132,132,11933
