Dataset,Sampling Method,SampleSize,Accuracy,Example Leakage,Running_Time,F1_Score,Precisions,Recalls,FeatureEncoder_Time,TruePositive,FalsePositive,FalseNegative,TrueNegative
bpic2013,none,100,0.7206888771903437,0.8211626682710386,372.6156620979309,0.6640045130094893,0.6666107207724931,0.7206888771903437,0.2542603015899658,9583,3714,3714,49474
bpic2013,relevance,70,0.7331332969630842,0.8028732496817603,145.89969325065613,0.711453854985576,0.7432177791834563,0.7331332969630842,35.29691171646118,8063,2935,2935,30059
bpic2013,relevance,50,0.7185099846390169,0.7859703020993344,79.35609889030457,0.7014864401460421,0.7299690741473082,0.7185099846390169,25.831510305404663,5613,2199,2199,29049
bpic2013,relevance,30,0.7222979109900091,0.7874659400544959,38.5362012386322,0.7166577291113041,0.7390291990409096,0.7222979109900091,23.668774843215942,3181,1223,1223,11989
bpic2013,random,70,0.7241494701617401,0.8314556609035136,331.35049295425415,0.6991884884371312,0.7392193563069499,0.7241494701617401,0.4746575355529785,6492,2473,2473,33387
bpic2013,random,30,0.7177541729893778,0.8032372281234194,109.03227186203003,0.660587864585922,0.6560734296508685,0.7177541729893778,0.2680232524871826,2838,1116,1116,10746
bpic2013,random,50,0.7265206067105868,0.8054236249425464,177.4120376110077,0.7015531033335084,0.7332729312471172,0.7265206067105868,0.3320150375366211,4742,1785,1785,17796
bpic2013,random,10,0.675531914893617,0.8289007092198581,30.399919748306274,0.6092744223479615,0.6030187306783051,0.675531914893617,0.18946075439453125,762,366,366,3018
bpic2013,variant,70,0.7272296015180265,0.5592979127134725,52.22593975067139,0.6919165983818896,0.711399398023223,0.7272296015180265,1.3846008777618408,3066,1150,1150,11498
bpic2013,variant,50,0.7192767391970579,0.5026049647563592,35.07629442214966,0.6293342789052496,0.5802007526048383,0.7192767391970579,1.084230661392212,2347,916,916,8873
bpic2013,variant,30,0.703507928880346,0.4646804420951466,25.70864772796631,0.6055959771878737,0.5537380266549118,0.703507928880346,0.6330640316009521,1464,617,617,5626
bpic2013,variant,10,0.69375,0.4578125,8.54848837852478,0.5809719644825336,0.5710820769989886,0.69375,0.2668335437774658,444,196,196,1724
bpic2013,random,5,0.656198347107438,0.7057851239669422,22.580814361572266,0.585078779115728,0.5664018415727626,0.656198347107438,0.17934942245483398,397,208,208,1607
bpic2013,random,3,0.6321243523316062,0.7616580310880829,16.35487151145935,0.5430324507550098,0.5433014653195101,0.6321243523316062,0.16722559928894043,244,142,142,1016
bpic2013,relevance,10,0.7017543859649122,0.7922807017543859,34.31970429420471,0.6668654383031836,0.6881543288720748,0.7017543859649122,29.277549982070923,1000,425,425,3850
bpic2013,relevance,5,0.6404639175257731,0.7023195876288659,21.995776176452637,0.5636249043430421,0.545080627947338,0.6404639175257731,23.279564142227173,497,279,279,2049
bpic2013,variant,5,0.5848484848484848,0.45151515151515154,17.11105704307556,0.4316472565038531,0.3420477502295684,0.5848484848484848,0.26894116401672363,193,137,137,853
